Term,Fall,,Fresh,Soph,Jr,Sr,U-grad,    ,,Aud,Law,Med,Pharm,Vet,Othr Prof,Prof,,Change
1112,2010-11,,5239,6016,7292,10350,28897,1658,9341,,834,691,540,317,317,2699,42595,1.2
1102,2009-10,,5129,5825,7718,10018,28690,1653,9116,,844,670,529,323,274,2640,42099,0.2
1092,2008-09,,5282,6206,7509,10156,29153,1597,8710,37,838,863,519,313,,2570,42030,-0.0
1082,2007-08,,5571,6078,7803,9547,28999,1619,8860,32,881,819,518,313,,2563,42041,1.4
1072,2006-07,,5373,6353,7390,9346,28462,1593,8832,29,892,801,535,322,,2579,41466,-0.0
1062,2005-06,,5862,6031,7181,9384,28458,1648,8841,29,873,785,532,314,,2533,41480,0.8
1052,2004-05,,5529,5821,7296,9571,28217,1549,8943,,870,746,529,315,,2460,41169,-1.0
1042,2003-04,,5445,6073,7828,9237,28583,1651,8924,,851,711,551,317,,2430,41588,0.2
1032,2002-03,,5479,6800,7479,8919,28677,1628,8822,,849,687,529,315,,2380,41507,-0.1
1022,2001-02,,6191,6424,7113,9060,28788,1680,8744,,839,687,500,314,,2340,41552,0.8
1012,2000-01,,5919,6231,7375,8951,28476,1749,8620,,887,694,474,319,,2374,41219,1.2
1002,1999-00,,5789,6395,7238,8848,28270,1704,8620,,853,609,366,318,,2146,40740,1.6
0992,1998-99,,5850,6469,7026,8463,27808,1708,8524,,842,600,306,321,,2069,40109,-0.2
0982,1997-98,,6128,6052,6936,8417,27533,1942,8811,,841,592,161,316,,1910,40196,0.9
0972,1996-97,,5715,5962,6733,8500,26910,1956,9112,,894,595,42,317,,1848,39826,-0.4
0962,1995-96,,5504,5629,6894,8334,26361,2115,9684,,906,591,35,313,,1845,40005,-0.7
0952,1994-95,,5138,5727,6630,8712,26207,2166,10065,,925,610,21,311,,1867,40305,-1.5
0942,1993-94,,5214,5605,6867,8952,26638,2062,10372,,922,600,24,306,,1852,40924,-2.4
0932,1992-93,,5005,5908,7129,9422,27464,2234,10414,,902,602,27,305,,1836,41948,-2.9
0922,1991-92,,5332,6118,7810,9640,28900,2362,10145,,874,593,18,304,,1789,43196,-0.8
0912,1990-91,,5455,6718,8308,8767,29248,2631,9848,,908,586,6,309,,1809,43536,-0.4
0902,1989-90,,5734,7497,7661,8733,29625,2595,9653,,923,595,,304,,1822,43695,0.1
0892,1988-89,,6656,6560,7393,9118,29727,2692,9401,,922,597,,302,,1821,43641,0.6
0882,1987-88,,5955,6849,7676,9297,29777,2482,9295,,893,616,,305,,1814,43368,-2.7
0872,1986-87,,6443,7264,7969,8997,30673,2810,9248,,912,633,,308,,1853,44584,-1.0
0862,1985-86,,6815,7471,7593,9076,30955,3048,9268,,914,631,,234,,1779,45050,1.9
0852,1984-85,,6606,6937,7632,8963,30138,3091,9288,,900,643,,158,,1701,44218,2.7
0842,1983-84,,6177,6700,7344,9047,29268,2923,9238,,912,654,,80,,1646,43075,2.0
0832,1982-83,,5919,6563,7466,8604,28552,2995,9131,,907,645,,,,1552,42230,1.3
0822,1981-82,,5880,6777,7339,8131,28127,2914,9113,,881,656,,,,1537,41691,
0812,1980-81,,6231,6680,7086,7748,27745,2934,9095,,907,668,,,,1575,41349,2.8
0802,1979-80,,5938,6249,6688,7553,26428,3175,9059,,901,670,,,,1571,40233,2.0
0792,1978-79,,5717,5989,6625,7580,25911,2982,8969,,903,665,,,,1568,39430,1.0
0782,1977-78,,5266,5983,7024,7230,25503,2843,9114,,897,665,,,,1562,39022,2.9
0772,1976-77,,4853,6119,6874,7036,24882,2569,8943,,882,648,,,,1530,37924,-1.6
0762,1975-76,,5838,6022,6905,6742,25507,2198,9319,,878,643,,,,1521,38545,4.4
0752,1974-75,,5468,5837,6518,6429,24252,1874,9305,,879,605,,,,1484,36915,2.7
0742,1973-74,,5325,5629,6312,6362,23628,1552,9239,,938,574,,,,1512,35931,3.1
0732,1972-73,,5228,5177,6552,6067,23024,1096,9281,,950,515,,,,1465,34866,2.7
0722,1971-72,,4781,5750,6511,6035,23077,771,8713,,911,471,,,,1382,33943,-1.3
0712,1970-71,,5412,6487,5818,6008,23725,668,8777,,785,433,,,,1218,34388,-3.3
0702,1969-70,,5569,7042,6019,6279,24909,652,8930,,653,405,,,,1058,35549,2.5
0692,1968-69,,5716,6723,5886,5773,24098,519,9023,,621,409,,,,1030,34670,5.1
0682,1967-68,,5385,6554,5552,4875,22366,497,9063,,668,406,,,,1074,33000,6.0
0672,1966-67,,5847,6484,4849,4311,21491,394,8222,,617,396,,,,1013,31120,6.2
0662,1965-66,,6342,5637,4482,4035,20496,388,7395,,628,392,,,,1020,29299,11.4
0652,1964-65,,5358,5224,3992,3777,18351,360,6587,,612,383,,,,995,26293,8.3
0642,1963-64,,5301,4595,3806,3750,17452,343,5613,,509,358,,,,867,24275,11.7
0632,1962-63,,4616,4372,3635,3162,15785,281,4862,,459,346,,,,805,21733,8.0
0622,1961-62,,4407,4251,3157,2912,14727,209,4396,,441,345,,,,786,20118,6.9
0612,1960-61,,4607,3701,2842,2590,13740,229,4046,,459,337,,,,796,18811,3.5
0602,1959-60,,3896,3291,2710,2946,12843,89,4435,,456,344,,,,800,18167,6.0
0592,1958-59,,3388,3046,2794,3002,12230,81,3986,,510,338,,,,848,17145,5.6
0582,1957-58,,3187,3141,2846,2919,12093,61,3295,,466,319,,,,785,16234,0.8
0572,1956-57,,3358,3277,2749,2877,12261,45,2977,,502,314,,,,816,16099,6.4
0562,1955-56,,3338,3050,2653,2594,11635,14,2668,,493,324,,,,817,15134,8.5
0552,1954-55,,3121,2844,2403,2192,10560,16,2583,,478,317,,,,795,13954,4.6
0542,1953-54,,3222,2553,2080,2144,9999,12,2525,,484,326,,,,810,13346,-1.7
0532,1952-53,,3074,2303,2267,2368,10012,6,2701,,527,325,,,,852,13571,-3.2
0522,1951-52,,2620,2373,2485,2655,10133,6,2911,,657,313,,,,970,14020,-11.1
0512,1950-51,,2714,2670,3011,3225,11620,28,3126,,684,308,,,,992,15766,-10.9
0502,1949-50,,2952,3109,3349,4382,13792,51,2822,,723,302,,,,1025,17690,-5.0
0492,1948-49,,3301,3454,4498,3865,15118,57,2568,,600,280,,,,880,18623,-0.4
0482,1947-48,,3548,4822,3936,3164,15470,188,2154,,607,274,,,,881,18693,0.5
0472,1946-47,,5768,4255,2969,2483,15475,402,1948,,508,265,,,,773,18598,106.0
0462,1945-46,,3149,2034,1473,987,7643,100,911,,109,265,,,,374,9028,36.5
0452,1944-45,,2543,1430,1046,740,5759,35,543,,59,219,,,,278,6615,12.0
0442,1943-44,,1970,1242,1004,850,5066,33,553,,48,204,,,,252,5904,-34.6
0432,1942-43,,2891,2028,1582,1396,7897,46,710,,96,277,,,,373,9026,-14.1
0422,1941-42,,2869,2368,1926,1664,8827,59,1089,,283,253,,,,536,10511,-7.6
0412,1940-41,,2998,2501,2157,1773,9429,59,1248,,384,256,,,,640,11376,0.8
0402,1939-40,,3028,2486,1998,1809,9321,49,1239,,420,257,,,,677,11286,-1.1
0392,1938-39,,3094,2449,2153,1675,9371,48,1313,,415,269,,,,684,11416,4.7
0382,1937-38,,3132,2462,1950,1463,9007,51,1155,,398,294,,,,692,10905,8.3
0372,1936-37,,2979,2212,1657,1308,8156,61,1115,,443,296,,,,739,10071,11.1
0362,1935-36,,,,,,7375,,975,,409,306,,,,715,9065,12.6
0352,1934-35,,,,,,6494,,869,,374,316,,,,690,8053,9.2
0342,1933-34,,,,,,5830,,866,,361,317,,,,678,7374,-5.9
0332,1932-33,,,,,,6096,,1107,,318,312,,,,630,7833,-10.6
0322,1931-32,,,,,,6975,,1194,,279,317,,,,596,8765,-6.8
0312,1930-31,,,,,,7675,,1108,,309,309,,,,618,9401,-0.7
0302,1929-30,,,,,,7836,,1024,,303,305,,,,608,9468,4.7
0292,1928-29,,,,,,7484,,926,,291,341,,,,632,9042,1.1
0282,1927-28,,,,,,7513,,882,,292,255,,,,547,8942,8.8
0283,1926-27,,,,,,6933,,782,,256,249,,,,505,8220,5.9
0284,1925-26,1,,,,,6479,,807,,252,222,,,,474,7760,1.5
0252,1924-25,1,,,,,6490,,767,,223,163,,,,386,7643,0.1
0242,1923-24,1,,,,,6585,,669,,221,157,,,,378,7632,3.6
0232,1922-23,,,,,,6352,,626,,230,160,,,,390,7368,0.3
0222,1921-22,,,,,,6363,,600,,219,162,,,,381,7344,4.9
0212,1920-21,,,,,,6204,,483,,162,155,,,,317,7004,1.9
0202,1919-20,,,,,,6146,,425,,166,135,,,,301,6872,87.1
0192,1918-19,,,,,,3296,,233,,41,103,,,,144,3673,-9.2
0182,1917-18,,,,,,3555,,303,,77,108,,,,185,4043,-19.5
0172,1916-17,,,,,,4349,,387,,166,118,,,,284,5020,3.1
0162,1915-16,,,,,,4178,,417,,175,98,,,,273,4868,-0.1
0152,1914-15,,,,,,4190,,420,,168,96,,,,264,4874,9.8
0142,1913-14,,,,,,3830,,368,,161,79,,,,240,4438,10.6
0132,1912-13,,,,,,3458,,331,,160,65,,,,225,4014,1.5
0122,1911-12,,,,,,3407,,340,,152,57,,,,209,3956,1.4
0112,1910-11,,,,,,3415,,299,,140,48,,,,188,3902,11.6
0102,1909-10,,,,,,3044,,254,,149,48,,,,197,3495,8.4
0092,1908-09,,,,,,2832,,209,,154,30,,,,184,3225,8.3
0082,1907-08,,,,,,2615,,192,,146,24,,,,170,2977,9.5
0072,1906-07,,,,,,2417,,152,,150,,,,,150,2719,-0.9
0062,1905-06,,,,,,2458,,139,,148,,,,,148,2745,3.3
0052,1904-05,,,,,,2365,,115,,177,,,,,177,2657,11.7
0042,1903-04,,,,,,2092,,94,,193,,,,,193,2379,12.1
0032,1902-03,,,,,,1803,,100,,219,,,,,219,2122,7.7
0022,1901-02,,,,,,1614,,112,,245,,,,,245,1971,6.7
0012,1900-01,,,,,,1494,,96,,258,,,,,258,1848,7.9
0002,1899-19,,,,,,1405,,84,,223,,,,,223,1712,15.8
,1898-99,,,,,,1193,,84,,202,,,,,202,1479,4.5
,1897-98,,,,,,1141,,92,,182,,,,,182,1415,6.0
,1896-97,,,,,,1055,,78,,202,,,,,202,1335,3.2
,1895-96,,,,,,1000,,72,,222,,,,,222,1294,8.2
,1894-95,,,,,,947,,43,,206,,,,,206,1196,16.3
,1893-94,,,,,,819,,48,,161,,,,,161,1028,0.7
,1892-93,,,,,,820,,50,,151,,,,,151,1021,20.7
,1891-92,,,,,,717,,17,,112,,,,,112,846,5.8
,1890-91,,,,,,671,,21,,108,,,,,108,800,10.3
,1889-90,,,,,,606,,15,,104,,,,,104,725,10.9
,1888-89,,,,,,538,,8,,108,,,,,108,654,
